"id","id_1","id_4","id_7","id_10","id_11","id_13","id_14","id_16","id_66","id_87","id_107","id_112","id_150","id_166","id_181","id_221","id_242","id_272","id_280","id_305","id_317","id_391","id_447","id_494","id_501","id_528","id_531","id_540","id_575","id_583","id_697","id_731","id_764","id_777","id_802","id_831","id_870","id_902","id_911","id_915","id_917","id_920","id_923","id_924","id_925","id_926","id_927","id_928","id_929","id_930","id_931","id_932","id_933"
"id_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_4",0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"id_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_10",0,0,0,0,0,0,8,0,35,0,0,0,64,0,28,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,31,163,0,0,32,0,0,0,0,0,0,0,0,0,0,0
"id_11",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"id_13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_14",0,0,0,8,0,0,0,0,0,1,9,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0
"id_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_66",0,0,0,35,0,0,0,0,0,0,8,0,1,1,0,7,0,0,0,0,0,246,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,10,0,0,24,0,0,0,0,0,2,0,27,0,0,9
"id_87",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_107",0,0,0,0,0,0,9,0,8,0,0,0,22,0,27,0,0,0,0,0,0,29,0,3,3,5,0,0,1,42,0,7,3,0,0,0,0,93,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"id_112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
