"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_10","id_11","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_22","id_24","id_28","id_29","id_33","id_35","id_39","id_45","id_46","id_47","id_48","id_49","id_50","id_55","id_69","id_105","id_117","id_119","id_133","id_165","id_203","id_214","id_276","id_304","id_473","id_479","id_641","id_746","id_748","id_749","id_750","id_751","id_752","id_753","id_754","id_755","id_756","id_757","id_758","id_759","id_760","id_761","id_762","id_763","id_764","id_765","id_766","id_767","id_768","id_769","id_770","id_771","id_772","id_773","id_774","id_775","id_776","id_777","id_778"
"id_746",0,0,0,0,0,0,0,0,0,512,0,633,0,22,0,0,0,157,1003,0,433,51,2273,0,0,0,0,0,0,0,0,1977,1153,2126,967,1112,647,167,233,170,179,0,0,22,78,0,0,500,366,0,264,0,0,448,34,403,324,46,0,0,0,330,35,0,0,211,309,0,19,180,88,29,861,150,0,1,0
"id_748",0,0,0,0,0,0,0,0,0,36,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0
"id_749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,573,569,166,520,47,0,0,142,0,164,0,0,0,0,338,0,0,0,0,123,105,0,0,0,371,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,208,350,334,0,571
"id_750",0,0,0,0,0,0,0,0,0,941,0,0,0,0,0,0,0,0,138,0,967,0,0,0,0,0,0,0,0,0,0,206,252,215,242,259,0,0,576,312,454,0,374,860,215,297,0,0,0,0,0,0,0,219,0,0,319,234,247,0,295,957,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_751",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
"id_752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,158,166,72,11,0,0,0,124,0,0,0,0,248,0,119,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,131,0,0,0,51,0,137,47,0,17,0
"id_753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,19,20,126,27,0,0,19,0,0,0,0,0,0,3,0,95,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,53
"id_754",0,0,0,0,0,0,0,0,0,0,0,117,0,39,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,21,0,0,0,0,0
"id_755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,113,0,0,0,0,0,0,0,0,90,367,0,0,281,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_756",0,0,0,0,0,0,0,0,0,14,0,122,0,22,0,0,0,160,40,0,0,0,0,0,0,0,0,0,0,0,0,240,102,47,0,33,24,0,0,19,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,41,0,0,1,21,0,132,0,0,0,0,0
"id_757",0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,27,0,156,0,0,0,0,0,0,0,0,0,0,684,108,290,453,106,207,0,0,27,108,0,0,0,0,530,0,377,0,0,85,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,248,0,525,621,0,52,27
"id_758",0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,109,0,137,0,0,0,0,0,0,0,0,0,0,298,379,406,179,433,0,0,443,385,321,0,87,88,985,437,0,0,244,0,0,0,0,29,0,0,0,312,21,0,0,209,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
