"id","id_1","id_2","id_4","id_12","id_13","id_14","id_15","id_22","id_26","id_29","id_52","id_91","id_144","id_145","id_192","id_264","id_334","id_340","id_343","id_345","id_347","id_349","id_350","id_351","id_352","id_353","id_357","id_358","id_359","id_360","id_361","id_362","id_363","id_364","id_365","id_367","id_368","id_370","id_371"
"id_1",0,75,41,2,318,13,3,0,0,19,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,63,0,0,0,0,0,0,0
"id_2",65,0,2325,3245,29,3208,3746,3365,549,1876,119,102,264,973,312,327,16,133,163,607,0,459,191,99,0,154,2028,1447,3195,3318,1315,65,2443,172,0,0,497,0,0
"id_4",118,1623,0,4580,0,4546,6229,7167,1320,6093,41,61,0,6876,123,32,0,653,4,292,0,211,840,14,0,0,7170,5821,3192,6711,3621,353,7164,0,0,0,73,0,0
"id_12",0,2197,2683,0,0,1964,6021,5286,4039,1382,0,6,0,3992,217,362,0,0,0,631,0,331,484,6,0,0,5074,5539,6133,5891,5866,0,5577,0,0,144,796,151,150
"id_13",253,29,0,0,0,22,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0
"id_14",85,3080,4616,1953,80,0,4720,5357,172,2581,31,172,356,1832,29,0,0,901,392,955,0,81,526,73,0,125,2446,992,2403,4370,943,124,3155,135,0,0,1,113,0
"id_15",22,4191,4832,6928,11,5526,0,7014,3294,1659,9,73,0,133,186,362,241,4,150,1103,0,438,253,31,0,0,5371,641,7161,6158,5163,51,7203,0,0,0,0,35,0
"id_22",0,3052,7192,5698,0,4004,7202,0,3741,5244,10,53,0,5210,275,272,182,110,0,747,0,384,440,0,0,0,7136,6653,6723,7135,5107,48,7203,0,0,0,12,0,0
"id_26",0,555,682,4087,0,137,4805,3074,0,0,0,0,0,2560,309,0,233,0,0,94,0,263,99,43,0,0,3827,4032,4954,3779,4357,0,3893,0,0,0,0,0,0
"id_29",33,1794,5844,1586,0,3768,1327,5017,22,0,56,59,255,5083,170,0,0,673,118,214,0,232,710,9,0,0,3752,821,734,4151,279,340,2434,0,0,0,191,3,0
"id_52",0,11,48,0,75,16,6,22,0,42,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"id_91",0,113,68,48,0,150,65,68,0,54,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,56,13,38,73,25,0,58,104,0,0,0,0,0
"id_144",0,87,0,0,0,95,2,8,0,35,0,0,0,0,49,0,0,0,385,0,0,89,75,0,76,128,0,0,0,27,0,0,0,0,0,0,0,0,0
"id_145",40,587,6531,3192,0,1972,2546,6449,2825,4715,55,16,0,0,0,93,0,568,0,313,0,24,810,0,0,0,7131,6303,2268,6790,4021,351,6953,0,0,0,0,0,0
"id_192",0,318,217,263,0,30,160,288,214,233,0,0,52,0,0,0,152,277,0,52,0,259,47,0,0,0,137,16,244,264,181,0,146,0,0,0,0,0,0
"id_264",0,321,157,320,0,0,345,271,0,0,0,0,0,66,0,0,0,0,0,92,0,0,0,0,0,0,202,248,324,297,140,0,219,0,27,0,0,134,0
"id_334",0,17,53,80,0,0,187,68,219,1,0,0,0,0,163,0,0,64,0,0,0,23,219,0,0,0,0,37,169,80,65,0,10,0,0,0,0,0,0
"id_340",0,340,637,0,0,835,0,302,0,656,0,0,0,481,176,0,57,0,0,309,0,0,651,0,0,0,242,0,0,0,177,0,213,0,0,0,0,14,0
"id_343",0,264,41,0,0,360,185,140,0,73,0,0,365,4,0,0,0,0,0,0,6,0,0,0,48,0,19,0,0,195,0,0,0,0,0,0,0,0,0
"id_345",0,658,651,722,0,688,971,918,90,352,0,0,0,296,56,173,0,377,0,0,0,0,365,0,0,0,691,359,679,452,434,0,754,0,0,0,261,0,0
"id_347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_349",0,420,311,355,0,129,392,416,232,379,0,0,116,45,215,0,23,0,0,0,0,0,85,0,0,0,191,165,278,374,243,0,205,0,0,0,0,0,0
"id_350",0,331,861,212,0,775,206,745,103,780,0,0,64,631,23,0,162,586,0,394,0,51,0,0,0,0,605,194,202,220,271,0,530,0,38,0,0,0,0
"id_351",0,128,18,55,0,76,96,15,66,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,99,37,60,0,44,47,0,0,0,0,0
"id_352",0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_353",0,111,0,0,0,86,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_357",0,1860,7203,4580,0,4587,4770,7139,3046,5272,17,63,0,7131,29,61,20,101,0,362,0,269,755,9,0,0,0,7203,4491,6975,4863,39,5907,0,0,0,3,0,0
"id_358",0,1099,970,5699,0,813,7203,1824,4701,181,0,0,0,0,0,294,42,0,0,379,0,187,188,85,0,0,7130,0,5535,2759,4996,0,7203,0,0,0,0,0,0
"id_359",0,3437,3361,6654,0,4247,7150,6466,5019,818,0,43,0,2958,106,360,197,51,0,581,0,242,218,85,0,0,5006,5133,0,6447,5001,0,5585,0,0,0,11,66,0
"id_360",0,3070,6390,6009,0,4547,6055,6873,4173,2844,0,71,7,3524,283,230,190,0,116,41,0,411,218,103,0,0,6579,5820,6128,0,5000,3,6952,0,0,0,267,0,0
"id_361",0,1041,3255,5074,0,441,5030,4538,4464,717,0,33,0,4789,0,113,0,122,0,331,0,136,206,6,0,0,4892,4945,5053,4978,0,0,4928,0,172,0,303,207,0
"id_362",102,98,338,0,173,75,42,332,0,323,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,220,0,0,33,0,0,0,0,0,0
"id_363",0,537,5836,4377,0,1735,3498,7104,3876,3269,0,23,0,7203,0,144,0,0,0,184,0,36,778,0,0,0,5907,7203,3720,7203,4931,0,0,0,0,0,0,0,0
"id_364",0,172,0,0,0,99,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,12,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0
"id_367",0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,165
"id_368",0,388,7,919,0,53,0,0,0,453,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,129,192,303,0,0,0,0,43,0,0,35
"id_370",0,0,15,72,0,92,26,0,0,28,0,0,0,0,0,88,0,14,0,0,0,0,0,0,0,0,0,0,44,0,233,0,0,0,0,0,0,0,0
"id_371",0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,6,0,0
