"id","id_1","id_2","id_4","id_6","id_8","id_9","id_12","id_13","id_14","id_16","id_17","id_20","id_21","id_23","id_25","id_26","id_27","id_30","id_32","id_34","id_36","id_39","id_41","id_42","id_44","id_45","id_48","id_53","id_56","id_66","id_67","id_68","id_69","id_98","id_260","id_286","id_307","id_315","id_316","id_317","id_321","id_325","id_335","id_340","id_362","id_373","id_414","id_419","id_422","id_425","id_428","id_436","id_437","id_438","id_439","id_440","id_441","id_442","id_443","id_444","id_445","id_446","id_447","id_448","id_449","id_450","id_451","id_452","id_453","id_454","id_455","id_456","id_457","id_458","id_459","id_460","id_461","id_462","id_463","id_464","id_465","id_466","id_467","id_468","id_469","id_470"
"id_1",0,6980,0,2091,0,0,0,3553,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4550,0,0,2755,5944,0,0,0,0,0,0,4865,0,0,0,0,0,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,6658,1516,7210,5995,6768,308,0,0,0,0,0,0
"id_2",7207,0,0,900,0,0,0,503,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5050,0,0,0,6756,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6714,59,7210,7210,7210,0,0,0,0,0,0,0
"id_4",0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,4818,3130,6438,7210,7210,0
"id_6",2070,1396,0,0,4613,2275,0,0,1196,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4037,0,0,5040,4,0,0,0,0,0,0,17,0,2135,0,0,0,0,0,0,0,1132,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043,2507,3816,4766,5041,1738,1282,80,0,0,0,0,0,0,0
"id_8",0,0,0,4390,0,6828,5,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,5388,0,0,0,0,0,0,0,423,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3055,7210,7210,0,10,0,0,0,0,0,0,0,0,0,0
"id_9",0,0,0,2475,5022,0,2096,0,3649,0,0,336,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6405,0,0,0,0,0,0,0,1618,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,5525,5287,1821,0,0,0,0,0,0,0,0,0,0,0,0
"id_12",0,0,0,0,11,766,0,0,4491,1135,1096,4370,0,611,776,200,895,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2831,0,0,0,0,0,0,0,0,0,0,2522,120,0,0,0,0,0,0,2935,294,3079,0,0,0,0,0,0,0,0,0,0,0,1173,0,627,917,4370,1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_13",2969,4654,1342,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5210,0,0,0,0,0,0,5450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,300,0,2677,5605,5319,3978,1424,1238,0,0
"id_14",0,0,0,1386,6611,5958,4435,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,2348,0,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226,7207,2967,264,0,0,0,0,0,0,0,0,0,0,0,0
"id_16",0,0,0,0,0,0,782,0,820,0,1855,7210,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699,0,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6942,6955,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_17",0,0,0,0,0,0,1221,0,0,2374,0,0,1803,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,3863,0,0,0,0,0,0,0,0,0,0,0,1582,0,0,2848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_20",0,0,0,0,0,134,4514,0,7210,3512,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5936,0,0,0,0,0,0,0,0,0,0,688,0,0,0,0,0,0,0,2082,0,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,6858,2958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_21",0,0,0,0,0,0,0,0,0,466,1942,0,0,1170,1878,1365,1372,890,866,2172,1791,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,1919,203,413,203,0,0,0,0,0,0,0,0,0,1777,848,902,1489,1214,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_23",0,0,0,0,0,0,550,0,0,0,0,0,402,0,3629,334,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,6651,0,0,0,0,0,0,0,0,0,0,0,0,3062,0,4092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_25",0,0,0,0,0,0,723,0,0,0,0,0,1390,4268,0,2931,6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3020,283,0,0,0,0,0,0,0,0,0,0,0,0,2112,0,5224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_26",438,678,2463,294,139,136,187,242,205,581,515,362,1526,246,2823,0,2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,408,281,825,0,0,0,0,0,0,879,0,140,0,0,0,0,0,0,0,79,0,225,0,0,0,0,0,0,0,0,0,0,0,91,0,807,540,240,108,122,225,710,259,273,328,340,1598,2378,1860,2113,1434,1760,0
"id_27",0,0,0,0,0,0,890,0,0,0,0,0,972,4743,7011,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3203,742,0,0,0,0,0,0,0,0,0,0,0,0,2855,0,6059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_30",0,0,0,0,0,0,159,0,0,0,0,0,647,905,0,0,0,0,6892,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7035,0,0,0,0,0,0,0,6264,0,0,0,0,0,0,0,0,0,0,0,4178,632,655,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_32",0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,6103,0,4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5117,0,0,0,0,0,2132,0,3739,0,0,0,0,0,0,0,0,0,0,0,6591,1683,2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_34",0,0,0,0,0,0,0,0,0,0,0,0,1938,0,0,0,0,0,1806,0,6356,6172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,5099,5139,1243,6721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_36",0,0,0,0,0,0,0,0,0,0,0,0,1792,0,0,0,0,0,0,7210,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,7210,782,1022,3933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_39",0,0,0,0,0,0,0,0,0,0,0,0,1915,0,0,0,0,0,0,6293,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,7210,2862,1207,6749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7209,0,0,6896,7210,0,0,0,0,0,0,0,0,0,0,0,861,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4996,0,4996,0,7210,0,0,5629,0,0,0,0,0,0,0,0,3409,0,0,2207,0,0,0,0,0,0,0,2207,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4997,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3577,7210,0,0,0,3633,0,0,0,0,0,0,0,0,3405,0,0,2206,0,0,0,0,0,0,3574,3629,0,0,0,0,0,0,0,0,0,0,0,0,0,551,3576,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6157,0,0,0,0,0,665,4489,0,0,0,0,0,7210,0,0,0,0,0,7144,0,0,0,0,0,0,0,7210,7210,0,1939,6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6552
"id_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,6003,0,0,0,0,0,0,0,0,4684,7210,7210,7210,0,0,0,80,0,0,0,7200,0,325,0,0,0,0,0,0,0,562,781,0,909,6571,0,6258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5364
"id_53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,7210,0,1691,0,0,0,0,0,0,0,0,0,5827,0,0,5348,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,651,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6724,1544,0,7210,0,0,0,7,0,0,0,6719,5685,0,0,0,0,0,0,4016,990,7210,0,0,0,0,7210,1860,195,68,6052,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
