"id","id_1","id_5","id_6","id_66","id_77","id_78","id_79"
"id_1",0,55,2,26,71,137,0
"id_5",55,0,21,0,12,0,0
"id_6",2,21,0,0,0,0,0
"id_66",26,0,0,0,9,0,0
"id_77",71,12,0,9,0,22,0
"id_78",137,0,0,0,22,0,0
"id_79",0,0,0,0,0,0,0
