"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_23","id_24","id_25","id_26","id_27","id_28","id_29","id_30","id_31","id_32","id_33","id_34","id_35","id_36","id_37","id_38","id_39","id_40","id_41","id_42","id_43","id_44","id_45","id_46","id_47","id_48","id_49"
"id_32",0,452,0,0,1449,0,4344,0,0,0,0,1419,0,0,0,0,0,0,0,0,0,0,2709,0,0,0,0,0,1949,127,1505,0,2531,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_33",0,0,0,0,2010,0,2636,0,0,0,0,1333,615,130,0,0,0,0,0,0,0,0,1357,0,0,0,0,0,2462,487,2531,2036,0,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_34",0,0,0,0,5261,0,1632,0,0,120,0,1763,4029,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,237,4462,5144,408,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_35",0,0,1402,0,5695,0,3093,0,0,6042,7200,5651,7199,7121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,252,2253,0,0,0,0,5132,0,0,3232,0,0,0,0,0,0,0,0,0,0
"id_36",0,0,456,0,401,7200,0,0,0,3209,7200,858,0,5557,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7045,0,2524,0,0,0,223,0,0,0,0,0,0
"id_37",0,0,761,0,444,7200,0,0,0,3237,7200,951,0,5878,0,2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7045,0,0,3278,0,0,0,722,0,0,0,0,0,0
"id_38",0,0,1211,0,0,7200,0,3735,5714,0,0,0,0,0,5565,3702,112,0,0,2328,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,5000,0,3129,3484,3030,7200,6168,0,0,0,0,0,0
"id_39",0,0,2262,685,1459,2539,1222,2411,2592,1896,4367,1563,3360,3822,2544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,3417,2385,1700,2241,0,2271,2601,2509,2627,589,0,0,0,0,0
"id_40",0,0,3895,1450,0,2476,0,4732,6133,0,0,0,0,0,6445,2948,527,0,0,3483,0,1578,0,0,1719,0,0,0,0,0,0,0,0,0,0,0,455,3629,2383,0,3992,7111,5882,1966,0,0,0,0,0
"id_41",0,0,3688,4942,0,1151,0,2082,6818,0,0,0,0,0,4980,514,3082,0,883,1354,277,4277,0,0,2861,0,0,0,0,0,0,0,0,0,0,0,0,1388,2761,5052,0,3243,3692,2819,3215,1398,0,0,0
"id_42",0,0,1515,176,0,5760,0,7139,6340,0,0,56,0,0,5640,3149,1020,0,0,2876,0,659,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,2225,6564,2565,5282,3687,0,5748,0,0,0,0,0,0
"id_43",0,0,1803,954,0,2670,0,5709,5251,0,0,0,0,186,3764,1497,1406,594,273,2023,620,1985,0,0,1549,0,0,652,0,0,0,0,0,0,0,133,1107,5047,3532,3144,4214,5690,0,641,930,642,0,428,0
"id_44",0,0,3503,5014,0,0,0,0,1407,0,0,0,0,0,2118,1785,2751,3276,4014,2052,4872,1895,0,0,2391,0,1288,2656,0,0,0,0,0,0,0,0,0,0,655,2389,2748,1173,593,0,3457,1884,0,782,2434
"id_45",0,0,4315,6663,0,0,0,0,1752,0,0,0,0,0,1756,3255,6538,1170,3433,2997,3106,3746,0,0,2431,79,1290,1789,0,0,0,0,0,0,0,0,0,0,0,790,3921,293,887,4487,0,2995,0,206,8
"id_46",0,0,136,2764,0,0,0,0,0,0,0,0,0,0,65,0,580,2134,901,230,2759,3018,0,3894,3774,2912,2566,3840,0,0,0,0,0,0,0,0,0,0,0,0,1712,0,542,2461,2739,0,1717,1387,988
"id_47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0,5461,1430,5526,2238,2171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,0,1554,527
"id_48",0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,83,890,2177,0,706,0,0,2810,438,3138,2962,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,665,765,1386,2235,0,1541
"id_49",0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,483,998,0,596,0,0,2556,525,1744,2179,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,126,721,495,2072,0
