id,frames,locX,locY,orientation,size1Px,size2Px,speedPxPerSec,Interpolated,headLocX,headLocY
675,81,991,495,159,17.6379,43.5126,0,0,970.68872,502.79677
675,82,991,495,159,17.6379,43.5126,0,0,970.68872,502.79677
675,83,991,495,160,17.6379,43.5126,0,0,970.55574,502.4411
675,84,991,495,160,17.6379,43.5126,0,0,970.55574,502.4411
675,85,991,495,160,17.6379,43.5126,0,0,970.55574,502.4411
675,86,991,495,160,17.6379,43.5126,0,0,970.55574,502.4411
675,87,991,495,161,17.6379,43.5126,0,0,970.42899,502.08317
675,88,991,495,161,17.6379,43.5126,0,0,970.42899,502.08317
675,89,991,495,161,17.6379,43.5126,0,0,970.42899,502.08317
675,90,991,495,161,17.6379,43.5126,0,0,970.42899,502.08317
675,91,991,495,162,17.6379,43.5126,0,0,970.30851,501.72307
675,92,991,495,162,17.6379,43.5126,0,0,970.30851,501.72307
675,93,991,495,162,17.6379,43.5126,0,0,970.30851,501.72307
675,94,991,495,162,17.6379,43.5126,0,0,970.30851,501.72307
675,95,991,495,163,17.6379,43.5126,0,0,970.19432,501.36093
675,96,991,495,163,17.6379,43.5126,0,0,970.19432,501.36093
675,97,991,495,163,17.6379,43.5126,0,0,970.19432,501.36093
675,98,991,495,163,17.6379,43.5126,0,0,970.19432,501.36093
675,99,991,495,163,17.6379,43.5126,0,0,970.19432,501.36093
675,100,991,495,163,17.6379,43.5126,0,0,970.19432,501.36093
675,101,991,495,163,17.6379,43.5126,0,0,970.19432,501.36093
675,102,991,495,163,17.6379,43.5126,0,0,970.19432,501.36093
675,103,991,495,162,17.6379,43.5126,0,0,970.30851,501.72307
675,104,991,495,162,17.6379,43.5126,0,0,970.30851,501.72307
675,105,991,495,162,17.6379,43.5126,0,0,970.30851,501.72307
675,106,991,495,162,17.6379,43.5126,0,0,970.30851,501.72307
675,107,991,495,162,17.6379,43.5126,0,0,970.30851,501.72307
675,108,991,495,162,17.6379,43.5126,0,0,970.30851,501.72307
675,109,991,495,161,17.6379,43.5126,0,0,970.42899,502.08317
675,110,991,495,161,17.6379,43.5126,0,0,970.42899,502.08317
675,111,991,495,161,17.6379,43.5126,0,0,970.42899,502.08317
675,112,991,495,161,17.6379,43.5126,0,0,970.42899,502.08317
675,113,990,495,161,17.6379,43.5126,1,0,969.42899,502.08317
675,114,990,495,161,17.6379,43.5126,0,0,969.42899,502.08317
675,115,990,495,160,17.6379,43.5126,0,0,969.55574,502.4411
675,116,990,495,160,17.6379,43.5126,0,0,969.55574,502.4411
675,117,990,495,160,17.6379,43.5126,0,0,969.55574,502.4411
675,118,990,495,160,17.6379,43.5126,0,0,969.55574,502.4411
675,119,990,495,160,17.6379,43.5126,0,0,969.55574,502.4411
675,120,990,495,160,17.6379,43.5126,0,0,969.55574,502.4411
675,121,990,495,159,17.6379,43.5126,0,0,969.68872,502.79677
675,122,990,495,159,17.6379,43.5126,0,0,969.68872,502.79677
675,123,990,495,159,17.6379,43.5126,0,0,969.68872,502.79677
675,124,990,495,159,17.6379,43.5126,0,0,969.68872,502.79677
675,125,990,495,159,17.6379,43.5126,0,0,969.68872,502.79677
675,126,990,495,159,17.6379,43.5126,0,0,969.68872,502.79677
675,127,990,495,158,17.6379,43.5126,0,0,969.82789,503.15006
675,128,990,495,158,17.6379,43.5126,0,0,969.82789,503.15006
675,129,990,495,158,17.6379,43.5126,0,0,969.82789,503.15006
675,130,990,495,158,17.6379,43.5126,0,0,969.82789,503.15006
675,131,990,495,158,17.6379,43.5126,0,0,969.82789,503.15006
675,132,990,495,157,17.6379,43.5126,0,0,969.9732,503.50087
675,133,990,495,157,17.6379,43.5126,0,0,969.9732,503.50087
675,134,990,495,157,17.6379,43.5126,0,0,969.9732,503.50087
675,135,990,494,157,17.6379,43.5126,1,0,969.9732,502.50087
675,136,990,494,157,17.6379,43.5126,0,0,969.9732,502.50087
675,137,990,494,157,17.6379,43.5126,0,0,969.9732,502.50087
675,138,990,495,157,17.6379,43.5126,1,0,969.9732,503.50087
675,139,990,495,157,17.6379,43.5126,0,0,969.9732,503.50087
675,140,990,495,156,17.6379,43.5126,0,0,970.12461,503.84909
675,141,990,495,156,17.6379,43.5126,0,0,970.12461,503.84909
675,142,990,495,156,17.6379,43.5126,0,0,970.12461,503.84909
675,143,990,495,156,17.6379,43.5126,0,0,970.12461,503.84909
675,144,990,495,156,17.6379,43.5126,0,0,970.12461,503.84909
675,145,990,495,156,17.6379,43.5126,0,0,970.12461,503.84909
675,146,990,495,155,17.6379,43.5126,0,0,970.28207,504.19462
675,147,990,495,155,17.6379,43.5126,0,0,970.28207,504.19462
675,148,990,495,155,17.6379,43.5126,0,0,970.28207,504.19462
675,149,990,495,155,17.6379,43.5126,0,0,970.28207,504.19462
675,150,990,495,155,17.6379,43.5126,0,0,970.28207,504.19462
675,151,990,495,155,17.6379,43.5126,0,0,970.28207,504.19462
675,152,990,495,155,17.6379,43.5126,0,0,970.28207,504.19462
675,153,990,495,154,17.6379,43.5126,0,0,970.44555,504.53734
675,154,990,495,154,17.6379,43.5126,0,0,970.44555,504.53734
675,155,990,495,154,17.6379,43.5126,0,0,970.44555,504.53734
675,156,990,495,154,17.6379,43.5126,0,0,970.44555,504.53734
675,157,990,495,154,17.6379,43.5126,0,0,970.44555,504.53734
675,158,990,496,154,17.6379,43.5126,1,0,970.44555,505.53734
675,159,990,496,154,17.6379,43.5126,0,0,970.44555,505.53734
675,160,989,496,153,17.6379,43.5126,1,0,969.61497,505.87716
675,161,989,496,153,17.6379,43.5126,0,0,969.61497,505.87716
675,162,989,496,153,17.6379,43.5126,0,0,969.61497,505.87716
675,163,989,496,153,17.6379,43.5126,0,0,969.61497,505.87716
675,164,989,496,153,17.6379,43.5126,0,0,969.61497,505.87716
675,165,989,496,153,17.6379,43.5126,0,0,969.61497,505.87716
675,166,989,496,152,17.6379,43.5126,0,0,969.79031,506.21398
675,167,989,496,152,17.6379,43.5126,0,0,969.79031,506.21398
675,168,989,496,152,17.6379,43.5126,0,0,969.79031,506.21398
675,169,989,496,152,17.6379,43.5126,0,0,969.79031,506.21398
675,170,989,496,152,17.6379,43.5126,0,0,969.79031,506.21398
675,171,989,496,152,17.6379,43.5126,0,0,969.79031,506.21398
675,172,989,496,152,17.6379,43.5126,0,0,969.79031,506.21398
675,173,989,496,151,17.6379,43.5126,0,0,969.97149,506.54767
675,174,989,496,151,17.6379,43.5126,0,0,969.97149,506.54767
675,175,989,496,151,17.6379,43.5126,0,0,969.97149,506.54767
675,176,989,496,151,17.6379,43.5126,0,0,969.97149,506.54767
675,177,989,496,151,17.6379,43.5126,0,0,969.97149,506.54767
675,178,989,496,151,17.6379,43.5126,0,0,969.97149,506.54767
675,179,989,497,151,17.6379,43.5126,1,0,969.97149,507.54767
675,180,989,497,150,17.6379,43.5126,0,0,970.15847,507.87816
675,181,989,497,150,17.6379,43.5126,0,0,970.15847,507.87816
675,182,989,497,150,17.6379,43.5126,0,0,970.15847,507.87816
675,183,989,497,151,17.6379,43.5126,0,0,969.97149,507.54767
675,184,989,497,152,17.6379,43.5126,0,0,969.79031,507.21398
675,185,989,497,152,17.6379,43.5126,0,0,969.79031,507.21398
675,186,989,497,153,17.6379,43.5126,0,0,969.61497,506.87716
675,187,989,497,153,17.6379,43.5126,0,0,969.61497,506.87716
