"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_15","id_23","id_25"
"id_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_7",0,0,0,0,0,0,0,700,0,0,0,49,0,0
"id_8",0,0,0,0,0,0,700,0,0,369,0,0,0,0
"id_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_10",0,0,0,0,0,0,0,369,0,0,0,0,0,0
"id_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_15",0,0,0,0,0,0,49,0,0,0,0,0,0,0
"id_23",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
